Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Power,Torque,Displacement,Fuel_Tank_Capacity,Type,Body_Type,Seating_Capacity,ARAI_Certified_Mileage,Length,Width,Height,Kerb_Weight,Ground_Clearance,Front_Brakes,Rear_Brakes,ABS_(Anti-lock_Braking_System),Airbags
Tata,Nano Genx,Xt,"Rs. 2,92,667",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Manual,Hatchback,4.0,23.6 km/litre,3164 mm,1750 mm,1652 mm,660 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xe,"Rs. 2,36,447",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Manual,Hatchback,4.0,23.6 km/litre,3164 mm,1750 mm,1652 mm,725 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",CNG,38PS@5500rpm,51Nm@4000rpm,624 cc,15 litres,Manual,Hatchback,4.0,,3164 mm,1750 mm,1652 mm,710 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xta,"Rs. 3,34,768",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Automatic,Hatchback,4.0,21.9 km/litre,3164 mm,1750 mm,1652 mm,725 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xm,"Rs. 2,72,223",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Manual,Hatchback,4.0,23.6 km/litre,3164 mm,1750 mm,1652 mm,725 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xma,"Rs. 3,14,815",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Automatic,Hatchback,4.0,21.9 km/litre,3164 mm,1750 mm,1652 mm,710 kg,180 mm,Drum,Drum,,
Datsun,Redi-Go,D,"Rs. 2,79,650",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,Yes,
Datsun,Redi-Go,T,"Rs. 3,51,832",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Datsun,Redi-Go,A,"Rs. 3,33,419",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Datsun,Redi-Go,S,"Rs. 3,62,000",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
